market_uuid,trading_day,quoted_spread,rel_quoted_spread,depth_best,pct_two_sided,rel_eff_spread,rv_mid,n_trades,treatment,repetition,gkey,sess,trader_day_directionality
c06d584f-16fe-42a0-a5b0-281026bd6ca3,10,0.37188554619234104,0.005725916018769285,2.7609091071952623,1.0,0.020854621180885196,0.011488050205160267,13,ghp,2,dadcupjc|e60078af|gr27p5tr|ja9vp1ab|stzawa55|tzbpp88u,20260520_PM,0.4777777777777778
c06d584f-16fe-42a0-a5b0-281026bd6ca3,11,0.4628124336721246,0.007122706015228244,3.199467433103954,1.0,0.03740809455095186,0.027002718066466546,22,ghp,2,dadcupjc|e60078af|gr27p5tr|ja9vp1ab|stzawa55|tzbpp88u,20260520_PM,0.5075757575757576
c06d584f-16fe-42a0-a5b0-281026bd6ca3,12,0.5280990936531149,0.00804620448035906,2.655298735834078,1.0,0.01612165561399497,0.02939335344409183,32,ghp,2,dadcupjc|e60078af|gr27p5tr|ja9vp1ab|stzawa55|tzbpp88u,20260520_PM,0.5319444444444444
c06d584f-16fe-42a0-a5b0-281026bd6ca3,13,1.175187087199885,0.018175117981110326,4.1381539393775855,1.0,0.0131396424167693,0.013775331379081756,8,ghp,2,dadcupjc|e60078af|gr27p5tr|ja9vp1ab|stzawa55|tzbpp88u,20260520_PM,1.0
c06d584f-16fe-42a0-a5b0-281026bd6ca3,14,0.31478696234916304,0.0048730110909651105,7.246349690051524,1.0,0.021861218109752854,0.01833113638717035,14,ghp,2,dadcupjc|e60078af|gr27p5tr|ja9vp1ab|stzawa55|tzbpp88u,20260520_PM,0.6666666666666666
c06d584f-16fe-42a0-a5b0-281026bd6ca3,15,0.18724708562734887,0.0029114201654476955,4.415805134544996,1.0,0.010083508936236659,0.009690873860136315,20,ghp,2,dadcupjc|e60078af|gr27p5tr|ja9vp1ab|stzawa55|tzbpp88u,20260520_PM,0.8088235294117647
c790e030-d023-437b-b3f5-54393dc4bea4,1,37.972124925143255,0.2552894853762614,2.051414999866011,0.7279788773931607,0.2259420008933312,0.3564820695403363,9,ghp,1,90ay03zv|ehyb34jx|g9jo03o9|h0ebvwds|u2aoz11d|ukmvlwcs,20260520_PM,1.0
c790e030-d023-437b-b3f5-54393dc4bea4,2,13.176253663297706,0.08529860951005223,2.7918101133364033,1.0,0.1806164054075858,0.1494796995172815,13,ghp,1,90ay03zv|ehyb34jx|g9jo03o9|h0ebvwds|u2aoz11d|ukmvlwcs,20260520_PM,0.9
c790e030-d023-437b-b3f5-54393dc4bea4,3,33.22461202211362,0.3119578956934478,2.039671351737819,1.0,1.4561103847953227,0.39864966566815585,7,ghp,1,90ay03zv|ehyb34jx|g9jo03o9|h0ebvwds|u2aoz11d|ukmvlwcs,20260520_PM,0.74
c790e030-d023-437b-b3f5-54393dc4bea4,4,14.130181043955398,0.1443784682404504,2.018441250512672,1.0,0.3683443204868155,0.33260512438494133,4,ghp,1,90ay03zv|ehyb34jx|g9jo03o9|h0ebvwds|u2aoz11d|ukmvlwcs,20260520_PM,0.7777777777777777
c790e030-d023-437b-b3f5-54393dc4bea4,5,6.028562055210651,0.0775757426983679,3.3039035158639813,1.0,0.3223393829460342,0.21107423766563801,11,ghp,1,90ay03zv|ehyb34jx|g9jo03o9|h0ebvwds|u2aoz11d|ukmvlwcs,20260520_PM,0.7333333333333334
c790e030-d023-437b-b3f5-54393dc4bea4,6,5.886068413795622,0.07701886108014969,3.1620026390032177,1.0,0.3640151515151515,0.13805299467528095,8,ghp,1,90ay03zv|ehyb34jx|g9jo03o9|h0ebvwds|u2aoz11d|ukmvlwcs,20260520_PM,0.5866666666666667
c790e030-d023-437b-b3f5-54393dc4bea4,7,6.086617237563001,0.09057070636094203,2.5984685120636435,0.9414782792640973,0.17865079365079367,0.08677643207800244,4,ghp,1,90ay03zv|ehyb34jx|g9jo03o9|h0ebvwds|u2aoz11d|ukmvlwcs,20260520_PM,0.6666666666666667
c790e030-d023-437b-b3f5-54393dc4bea4,8,1.599883820599374,0.030513446664655906,2.013027699472993,0.7011635407452438,0.17240711242239146,0.08650771371825211,31,ghp,1,90ay03zv|ehyb34jx|g9jo03o9|h0ebvwds|u2aoz11d|ukmvlwcs,20260520_PM,0.8666666666666666
